Accession	source	Genome Name / Sample Name	completeness	contamination	Phylum	Amt-1	Amt-2	Amt-3	ureC	cspc	ipct	nhap	trk	metE	metE_2	flaK	cheA	cheY	cheY_2	TadC	flal	proDH	RocA
2716884905	img	Thaumarchaeota archaeon SCGC AC-337_L13v2 (contamination screened)	22.2	0	Thaumarchaeota	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1
2510065023	img	Candidatus Nitrososphaera gargensis Ga9-2	94.9	2.6	Thaumarchaeota	1	1	0	1	0	0	1	1	0	0	1	1	1	1	1	1	1	1
2786546742	img	Nitrosopumilales archaeon CG_4_10_14_0_8_um_filter_34_8	80.9	0.5	Thaumarchaeota	1	1	0	1	1	0	0	1	0	0	1	0	1	1	0	1	1	1
2657244923	img	Nitrosocosmicus oleophilus MY3	90.7	1	Thaumarchaeota	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1
2788500263	img	Candidatus Nitrosocaldus islandicus	90.7	0.5	Thaumarchaeota	1	0	1	1	0	0	1	0	1	1	1	1	1	0	1	1	1	1
2579779048	img	Thaumarchaeota archaeon MY2	92.8	2.1	Thaumarchaeota	1	1	0	0	0	0	1	1	0	0	1	1	1	1	1	1	1	1
2706794827	img	Marine archaeal group 1 JGI ETNP_125m_188_A04 (contamination screened)	8.8	0	Thaumarchaeota	1	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2757320681	img	Candidatus Nitrosotalea devanaterra NDEV1	91.2	0.5	Thaumarchaeota	1	1	0	0	0	0	1	0	0	0	1	1	1	1	1	1	1	1
2706794805	img	Marine archaeal group 1 JGI GoM_1470m_185_A05 (contamination screened)	63.4	0.5	Thaumarchaeota	1	0	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0
2657245244	img	Thaumarchaeota archaeon SCGC AC-312_C19v2 (contamination screened)	41.8	0	Thaumarchaeota	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2775506854	img	Nitrosotalea bavarica SbT1	91.2	0.5	Thaumarchaeota	1	0	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1
2502545036	img	Candidatus Nitrosopumilus sp. BD31	87.6	0.5	Thaumarchaeota	1	1	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	1
2778260922	img	uncultured Candidatus Nitrosotenuis sp. bin71	68.1	2.1	Thaumarchaeota	0	0	0	0	0	0	1	0	0	0	1	0	0	0	1	1	1	1
2648501537	img	Thaumarchaeota archaeon SCGC AB-663-F14 (contamination screened)	27.3	0	Thaumarchaeota	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
2627854092	img	Nitrosopumilus adriaticus NF5	92.3	0.5	Thaumarchaeota	1	1	0	0	1	0	1	1	0	0	1	1	1	1	1	1	1	1
2786546741	img	Nitrosopumilales archaeon CG_4_9_14_0_2_um_filter_34_16	73.7	0	Thaumarchaeota	1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	1
2651870209	img	Nitrosopelagicus sp. REDSEA-S31_B2	83.5	0.5	Thaumarchaeota	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
2657245301	img	Thaumarchaeota archaeon SCGC AD-305-F05 - v2 (unscreened)	73.2	0.5	Thaumarchaeota	1	1	0	0	0	0	1	1	0	0	0	0	1	1	0	0	0	1
2731639234	img	Marine group I.1a Thaumarchaeota archaeon SCGC AG-485_D14 (contamination screened)	32	0	Thaumarchaeota	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0
2660238809	img	Thaumarchaeota AK31 archaeon AG-122-L20 (unscreened)	29.4	0	Thaumarchaeota	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	1	1	1
2757320762	img	Candidatus Nitrosomarinus catalina SPOT01	92.3	0.5	Thaumarchaeota	1	1	0	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0
2636415618	img	Marine Group I thaumarchaeote SCGC AAA799-D11 (unscreened)	77.3	0	Thaumarchaeota	1	1	0	0	1	0	1	0	0	0	1	0	1	1	0	0	1	1
2731639232	img	Marine group I.1a Thaumarchaeota archaeon SCGC AG-485_G20 (contamination screened)	38.7	0	Thaumarchaeota	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2657244912	img	Thaumarchaeota AK31 archaeon AG-122-D18 (contamination screened)	29.9	0	Thaumarchaeota	0	0	0	1	0	0	1	0	0	0	0	0	1	1	0	0	0	0
2681813472	img	putative Thaumarchaeota genus Nitrosopumilus sp. v2 (bin U_52366)	81.9	0.5	Thaumarchaeota	1	0	0	1	0	0	1	1	0	0	0	0	1	1	0	1	0	0
2648501530	img	Thaumarchaeota archaeon SCGC AAA282-K18 (contamination screened)	70.1	0.5	Thaumarchaeota	0	0	0	1	1	0	1	1	0	0	1	0	1	0	0	0	0	0
2786546486	img	Thaumarchaeota archaeon SP139	56.2	0.5	Thaumarchaeota	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0
2775506851	img	Nitrosotalea okcheonensis CS NCS1	92.3	0.5	Thaumarchaeota	1	1	0	1	0	0	1	0	0	0	1	1	1	1	1	1	1	1
2786546737	img	Nitrosopumilales archaeon CG15_BIG_FIL_POST_REV_8_21_14_020_33_23	46.4	0	Thaumarchaeota	1	0	0	0	1	0	1	1	0	0	0	0	1	1	1	1	1	1
2518645532	img	Candidatus Nitrosopumilus koreensis AR1	86.1	0.5	Thaumarchaeota	1	1	0	0	1	0	1	1	0	0	1	0	1	1	1	1	0	1
2627853696	img	Nitrosopumilus piranensis D3C	92.8	0.5	Thaumarchaeota	1	1	0	1	1	0	1	1	0	0	1	0	1	1	1	1	1	1
2634166682	img	Thaumarchaeota archaeon SCGC AD-103-C20 (unscreened)	65.4	0.5	Thaumarchaeota	0	0	0	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0
2657245308	img	Thaumarchaeota archaeon SCGC AC-312_F15 - v2 (contamination screened)	43.3	0	Thaumarchaeota	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
2603880166	img	Candidatus Nitrosocosmicus exaquare G61	89.7	1	Thaumarchaeota	0	1	0	1	0	0	1	1	0	0	0	0	1	1	0	0	0	1
